	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Houston, TX+1 location	Texas Children's Hospital	Estimated $103K - $131K a year	Creates data models and generates data insights.Source data may include both structured and unstructured data.Estimates time to complete individual tasks.
1	Data Engineer	Houston, TX	Infinitek	$100,000 - $135,000 a year	Minimum 3-4 years of experience in data analytics as a data engineer, data analyst, data scientist, or applied scientist role.
2	Senior Data Scientist - Delivery Insights	Remote in Texas	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
3	Data Scientist	Remote in Houston, TX 77001	Ayasdi	Estimated $109K - $137K a year	The ability to collaborate well with other data scientists and machine learning engineers.Directly interact with data scientists in the Financial Services…
4	Data Scientist Manager (re-lo to Orlando FL Area)	Houston, TX	The Denzel Group	Estimated $118K - $150K a year	Identify opportunities to build new value-adding analytics, and integrate analytics and data science principles into existing areas.
5	Data Scientist	Houston, TX 77021 (Macgregor area)	Baylor Miraca Genetics Laboratories, LLC	Estimated $83.7K - $106K a year	Perform data profiling and data analysis for any source systems and the target data repositories.Build tools to automate data collection.
6	Data Scientist (Remote)	Remote in Houston, TX 77001	Steel Point Solutions L	Estimated $128K - $162K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
7	Sr. Data Scientist	Houston, TX 77002 (Downtown area)	NRG	Estimated $113K - $143K a year	Strong data background including knowledge of 3NF, star schema, and NoSQL database designs.NRG is looking for a Sr Data Scientist to develop and apply models…
8	Data Scientist - (2+ yrs of statistics & R programming exp....	Texas	#twiceasnice Recruiting	Estimated $96.7K - $122K a year	Salary: Commensurate with Experience + Bonus + Benefits.Benefits: Medical, Dental, Vision, 401k, Holidays, Unlimited PTO .
9	Data Scientist	Remote in Houston, TX	Circle	Estimated $120K - $152K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
10	Senior Data Scientist	Houston, TX	Houston Texans	Estimated $94.9K - $120K a year	Working knowledge in data discovery and new data acquisition.Experience working with large data sets (Next Gen Stats location data).
11	Data Scientist	Remote in Houston, TX 77010	Walter P Moore	Estimated $109K - $138K a year	We are seeking a qualified Data Scientist to work with us in developing exciting and innovative projects that leverage Robotics and Machine Learning to identify…
12	Data Scientist	Houston, TX	Forthea	Estimated $80.5K - $102K a year	Automate data gathering and curation of all data sources.Analyze clickstream data on eCommerce website to optimize conversion rates.
13	Data Scientist	Houston, TX 77042 (Briar Forest area)	Kit Professionals	Estimated $78.9K - $99.9K a year	You will review available historical data and identify additional data collection needs including its locations and data types.
14	Data Scientist	Remote in Houston, TX+1 location	Avetta, LLC	Estimated $117K - $148K a year	Develop a solid understanding of Avetta data.Experience in SQL, exploratory data analytics and visualization.3 years of experience in applied Data Science.
15	DATA SCIENCE CONSULTANT HOUSTON	Houston, TX 77056 (Uptown area)	managementsolutions	Estimated $84.5K - $107K a year	You will be working in key projects for leading organizations in data mining & knowledge Discovery, predictive modeling, trend modeling, Simulation models …
16	Data Scientist	Houston, TX 77024 (Greater Memorial area)	Coterra Energy	Estimated $93.9K - $119K a year	Teach others how to apply data science and data analysis to their work.Experience with exploratory data analysis.
17	Data Scientist - Ads Optimization	Remote in Houston, TX	Comcentric	$139,000 - $225,000 a year	Proactively research data and identify opportunities in the data to drive the product roadmap.Helps identify ways to improve data quality and analysis.
18	Data Science Specialist III	Houston, TX 77002 (Downtown area)	Gas LLC	$94.00 - $94.85 an hour	Participate in strategic planning discussions around data science and big data.5+ years of practical experience framing and solving data science problems.
19	Data Scientist (Upstream)	Houston, TX	ExxonMobil	Estimated $107K - $136K a year	Demonstrated ability to mentor other data scientists is an advantage.Retrieve and combine data from databases, data historians, and/or data lakes; there is a…
20	Data Science Manager	Houston, TX 77010 (Downtown area)+1 location	Bain & Company	Estimated $121K - $153K a year	Train relevant AAG team members to support big data/data science initiatives.Develop, prototype, test, and deploy machine learning solutions on wide ranging…
21	Senior Data Scientist	Houston, TX 77040 (Cypress-Fairbanks area)	Tokio Marine HCC	Estimated $124K - $157K a year	The work is technical and analytical performing predictive and data analytics.Establish and promote best practices for data science and application of…
22	Excel Expert Software Engineer/Data Scientist	Houston, TX+1 location	Ed Mehlman and Associates	Estimated $95.7K - $121K a year	Candidates can have any education background but a degree in computer science, data science, and/or finance is a plus.
23	Data Scientist – Operational Research (Hybrid)	Hybrid remote in Houston, TX 77019	Argus Media	Estimated $94.4K - $120K a year	Proficient in exploratory data analysis and model/algorithm prototyping and selection.You are comfortable with visualizing and communicating data to various…
24	Data Scientist	Houston, TX 77004 (Southeast area)	Context Labs	Estimated $93.1K - $118K a year	Performing exploratory data analysis to derive business insights.Familiarity with conceptual and logical data modeling principles.
25	Data Scientist - Digital Products - Fully Remote	Remote in Houston, TX 77046	Sunnova Energy Corp	Estimated $101K - $128K a year	Experience in working with geospatial data and analytics.Experience with big data processing technologies such as Spark.Cell phone allowance for many roles.
26	Data Scientist/ Machine Learning Engineer - Remote	Remote in Houston, TX	Cardinal Intellectual Property	Estimated $116K - $147K a year	Research and implement new image search models and improvements to existing ones using big data to solve real-world problems.Experience with Docker is a plus.
27	Director, Data Science	Houston, TX 77010 (Downtown area)	Bain & Company	Estimated $144K - $182K a year	3+ years of experience managing data scientists.Translate business objectives into data and analytics solutions and, translate results into business insights…
28	Data Scientist	Houston, TX 77002 (Downtown area)+1 location	Westlake Chemical	Estimated $116K - $147K a year	Experience in data quality analysis, data cleansing, and data engineering.Collaborate to develop Digital Literacy of the enterprise through training citizen…
29	Machine Learning Postdoctoral Researcher	Houston, TX 77004 (Third Ward area)	University of Houston	$3,223 - $4,834 a month	We invite applications for a postdoctoral researcher in machine learning (with a focus in healthcare data) Applicants will broadly be expected to work on…
30	Sr. Data Scientist	Hybrid remote in Houston, TX 77010	LyondellBasell Industries	Estimated $115K - $145K a year	Experience working with large structured and unstructured data and technologies.High level of enthusiasm and a love of data and software development.
31	Data Scientist- Global Engineering Technology	Hybrid remote in Houston, TX	ABS	Estimated $87.8K - $111K a year	Exposure working with structured and unstructured data, data quality issues.Apply advanced data science concepts to deliver data driven offerings and insights.
32	eCommerce Data Marketing Analyst (Sr. Data Analyst II)	Houston, TX 77001	Shutterfly	$94,700 a year	Strong analytical skills and experience working in large data sets to analyze data using pivot tables and raw data, and measuring ecommerce digital marketing…
33	Senior Analyst, Data Science & Analytics	Remote in Houston, TX+1 location	Reify Health (Jobs)	Estimated $99.8K - $126K a year	Comfort with modern data analytics and BI environments such as Jupyter, Dash, Quicksight, etc.Developing clean, reusable, and testable analytical code and make…
34	Sr. Azure Data Architect	Houston, TX	Set Solutions	$150,000 - $200,000 a year	Creation of data governance and master data best practices.Collaborating across teams to settle appropriate data sources, develop data extraction and business…
35	Data Science Manager	Houston, TX 77001	Trader Interactive	Estimated $115K - $146K a year	Develop a team of data scientists capable of satisfying data needs, as reflected in company short and long term goals for market growth.
36	Sr. Data Analyst	Houston, TX	S & B Engineers and Constructors	Estimated $79.7K - $101K a year	Expert proficiency with data visualization software.Collaborate with team members to collect and analyze data.Detail oriented with strong analytical skills.
37	Machine Learning Engineer	Hybrid remote in Houston, TX	CGG	Estimated $119K - $150K a year	You will work with our Geoscientists to validate potential opportunities for machine learning techniques, prepare data for training and testing, and design,…
38	Senior Data Analyst, Business Intelligence	Hybrid remote in Houston, TX 77002	NRG	Estimated $109K - $138K a year	Hands on development of data models in Oracle and data visualizations.The successful candidate will possess a strong data modeling and data visualization…
39	Senior Data Scientist	Houston, TX 77057 (Uptown area)	Wood Mackenzie	Estimated $115K - $146K a year	Professional experience as a data scientist or machine learning engineer.Use strong programming & data engineering skills to explore, examine, prepare, and…
40	Statistician	Houston, TX 77056 (Uptown area)	Akerman LLP	Estimated $73K - $92.4K a year	Reviewing and summarizing data, including identifying trends in data set and researching possible root causes of the same.
41	Senior Data Engineer	Houston, TX+2 locations	Credera Experienced Hiring Job Board	Estimated $124K - $157K a year	They are an experienced data pipeline developer who enjoys data wrangling, optimizing data flows, and building solutions for data collection and analysis.
42	DevOps Engineer - Machine Learning	Houston, TX	Logic20/20 Inc.	Estimated $119K - $150K a year	As a DevOps Engineer on this project, you’ll build infrastructure to support wildfire mitigation as well as increase customer safety.
43	Machine Learning Operations Engineer - Research Group	Webster, TX 77598	Nauticus Robotics	Estimated $81.1K - $103K a year	Experience authoring AI data pipelines preferred.Architect infrastructure for general software and ML component.Experience developing CI/CD pipelines.
44	Natural Language Processing Engineer II	Remote in Houston, TX	Textio	Estimated $108K - $137K a year	Our category-defining augmented writing products offer real-time language guidance to help our users consistently communicate inclusively and effectively.
45	Senior Marketing Data Analyst	Remote in Houston, TX	Circle	Estimated $85.8K - $109K a year	Identifying trends in the data to inform ongoing strategy.Collecting and analyzing data from multiple sources to arrive at critical information for the…
46	Director, Artificial Intelligence (AI) & Machine Learning (M...	Remote in Houston, TX	KEY CAPTURE ENERGY	Estimated $156K - $197K a year	Work closely with the software development team to identify and acquire new data necessary to support new models and deploy these models to production systems.
47	Senior Data Analyst	Sugar Land, TX 77478	Accredo Packaging, Inc.	Estimated $76.5K - $96.9K a year	Extracts data from the company’s ERP system, including current or historical data.Be a subject matter expert in data mining and interpretation and proficient…
48	Senior Data Engineer, Python	Houston, TX	Computer Staff	$140,000 - $170,000 a year	Assists data analysts and data scientists with data extraction, feature engineering, query optimization, and data processing.4-5+ years of experience in SQL.
49	Director of Marketing - AI, Data Science Services and Soluti...	Remote in Houston, TX+1 location	Xen.ai	Estimated $119K - $150K a year	Xen.AI is looking for Director of Marketing - AI, Machine Learning and Data Science Services and solutions.This can be a full time or part-time role.
