	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Lexington, MA 02421	Vanu, Inc.	$100,000 - $150,000 a year	Master’s degree or better in engineering or science-related field.Demonstrable experience with Geodata and mapping technology (tif, shp, kmz, appropriate…
1	Data Scientist I - Gabuzda Lab	Remote in Boston, MA 02215+5 locations	Dana-Farber Cancer Institute	None	Bioinformatics scientists work closely with wet lab scientists to generate, analyze, and interpret large-scale datasets using various analytical and…
2	Senior Data Scientist	Remote in Boston, MA 02127	CyberCoders	$150,000 - $170,000 a year	Develop our data science function.Experience with structured/unstructured data sources.RSUs, Annual Bonus, 401(k), Unlimited PTO.
3	Data Scientist	Remote in Boston, MA 02110	Nexamp	Estimated $91.4K - $116K a year	Nexamp is seeking an experienced data scientist to work with diverse data sets including weather, equipment performance, solar energy generation, ISO grid…
4	Senior Data Scientist	Boston, MA	Compunnel Inc.	$110,338 - $145,516 a year	(We Provide Fulltime Salary and H1B/GC Sponsorship aided with immigration assistance).Candidate should have strong python & a good comfort level of Linux &…
5	1628 Data Scientist	Boston, MA	Infoorigin inc	$125,000 - $175,000 a year	The data scientist will help clients transform their business and solve complex problems using data-driven approaches and help to deliver projects using data…
6	CO-OP, DATA SCIENCE	Somerville, MA	PUMA	Estimated $44K - $55.8K a year	Leveraging internal and external data to identify signal and generate recommendations.Using data analysis to solve problems, identify trends, and predict…
7	Data Scientist	Remote in Boston, MA 02110+3 locations	S&P Global	$68,300 - $155,900 a year	3+ years of experience in data analysis or similar role.Strong statistical knowledge and intuition, especially for applying analysis to real data.
8	Data Scientist	Boston, MA 02215 (Fenway-Kenmore area)	Chen Lab @ Boston University	Estimated $93.7K - $119K a year	Data…
9	Data Scientist-Computational Sciences	Hybrid remote in Watertown, MA	Neumora	Estimated $107K - $135K a year	Work closely with other data scientists and engineers to set up and run data processing, feature engineering, quality control, computational analysis, and…
10	Associate Data Scientist	Remote in Boston, MA 02110+1 location	Corvus Insurance	Estimated $94.3K - $119K a year	You will identify, ingest and cleanse innovative sources of data to support existing products, including but not limited to cybersecurity data.
11	Senior Data Scientist (Interview This Week)	Boston, MA+2 locations	Syrinx	Estimated $125K - $158K a year	Analyze large data sets to develop multiple, custom models and algorithms to drive innovative correlations for fraud and acceptance data as well as social data.
12	Data Scientist	Boston, MA	BSC Group	Estimated $86.2K - $109K a year	Demonstrated ability with data management and modeling software.Suggest methods to use data analytics to streamline processes.
13	Data Scientist	Boston, MA	Lantern	Estimated $89.7K - $114K a year	You have _3+ years experience with a _technical toolset that mirrors a seasoned data scientist (Complex SQL, Python, Scikit, Git, visualization tools, etc).
14	Data Scientist	Boston, MA 02111 (Leather District area)	PowerAdvocate	Estimated $96.3K - $122K a year	Full-stack data science/data engineering experience.Develop and maintain data pipelines to deliver data to multiple parties.
15	Staff Data Scientist	Boston, MA 02210 (South Boston area)	Gradient AI	$130,000 - $185,000 a year	Synthesize research data, turning data to actionable insights, and specific model requirements.Experience working with insurance data or building insurance…
16	Data Scientist	Boston, MA	Pison	Estimated $122K - $154K a year	Experience working with IMU sensor data.Analyze data, including evaluating signal quality, performing feature analysis and visualization, and quantifying other…
17	Data Analyst	Remote in Boston, MA	6 River Systems	Estimated $84.6K - $107K a year	Develop SQL to transform raw data into data models and build production level data visualizations.Design and implement end-to-end data pipelines: work closely…
18	Data Scientist	Charlestown, MA 02129	Catalog Technologies, Inc.	Estimated $101K - $128K a year	Experience in programming with Python, including usage of standard data science libraries: pandas, scipy, numpy, matplotlib.
19	Data Scientist, Growth	Remote in Boston, MA	Spotify	Estimated $96K - $122K a year	Work closely with data scientists, user researchers, product managers, designers and engineers.Familiar with qualitative research methods, utilizing data from…
20	Product Data Scientist (Cambridge)	Cambridge, MA+1 location	Philo	Estimated $95.4K - $121K a year	You'll be working closely with other data scientists and engineers to build and deploy solutions directly for our service.
21	Data Scientist	Remote in Boston, MA	Datavant	Estimated $122K - $155K a year	2+ years of industry experience working as a data scientist or engineer, using Python, and contributing to production code.
22	Statistician/Data Scientist	Boston, MA 02129	9Rooftops	Estimated $125K - $159K a year	O Communication skills to ask questions of clients and internal partners to clarify data definitions, data structure and data generation biases.
23	Data Scientist	Cambridge, MA 02139 (Cambridgeport area)	MORSE Corp	Estimated $108K - $137K a year	MORSE is searching for a Data Scientist with expertise in data analysis, data science, and algorithm development in one or more of a variety of fields including…
24	Data Scientist	Cambridge, MA 02142 (Kendall Square area)	Whitehead Institute	Estimated $88.6K - $112K a year	Perform data analysis on new experiments and make conclusions based on data.Increase speed and efficiency of big data analysis.
25	Data Scientist – Predictive Analytics	Remote in Boston, MA	Biofourmis	Estimated $101K - $128K a year	Design and conduct exploratory and statistical analyses to understand the complex human systems and health data.
26	Full Stack Data Scientist	Boston, MA	Klaviyo	Estimated $127K - $161K a year	The full stack data scientist position is a multidisciplinary role that combines data and algorithm discovery, UX design, and software engineering.
27	Data Scientist	Remote in Boston, MA	Circle	Estimated $119K - $151K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
28	Senior Data Scientist	Cambridge, MA	Cambridge Mobile Telematics	Estimated $138K - $175K a year	Ability to write and navigate code, request data from data sources and code from scratch.Experience building scalable data processing systems for production…
29	Lead Data Scientist	Cambridge, MA 02138 (West Cambridge area)	S&P Global	$83,200 - $190,100 a year	Experience performing data analysis, modeling, and generating visualizations.Extracting insights from messy, usually un-labeled, data across multiple languages…
30	Sr Data Scientist	Boston, MA	AtScale	Estimated $124K - $157K a year	Work closely with external users and customers (data scientists, machine learning engineers, business analysts) to pilot new offerings.
31	Customer Data Scientist	Cambridge, MA	Einblick	Estimated $107K - $136K a year	3+ years of experience as a data scientist OR technical pre-sales / sales engineer experience in the analytics or data science space.
32	Principal Marketing Data Scientist	Remote in Needham, MA	Humanity	Estimated $130K - $164K a year	As a principal marketing data scientist, you will be leading or contributing to the research, design, testing, and implementation of various advanced marketing…
33	Data Scientist, Data Quality Engineer	Remote in Cambridge, MA 02142	InsideTracker	None	Direct experience with any or all of the following: data quality, data management, data governance, data science, and/or data-intensive software development…
34	Data Scientist	Boston, MA	L.E.K. Consulting	Estimated $97.9K - $124K a year	Analytical needs can include: data aggregation / creation, data cleaning / manipulation, commercial data science (e.g., geospatial, machine learning, predictive…
35	Data Scientist	Beverly, MA 01915	Axcelis Technologies Inc.	Estimated $85.3K - $108K a year	Continue to monitor and review data analytics and data science publications to bring new tools to the organization.Bachelors Degree in related field required.
36	Data Scientist	Hybrid remote in Boston, MA 02199	Blue Cross Blue Shield of Massachusetts	Estimated $128K - $162K a year	 Responsible for detailed data science business requirements documentation. Experience in working with assignments that involve moderately complex to complex…
37	Data Scientist	Boston, MA 02116 (South End area)	Apexon	$105 an hour	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
38	Visualization/Data Scientist	Waltham, MA 02451	Vita Data Sciences	Estimated $82.6K - $105K a year	1+ years working with Clinical related data.Codes software applications to adhere to designs supporting internal business requirements or external customers.
39	Senior Acquisition Data Scientist (Remote)	Remote in Boston, MA	Drizly	$123,000 a year	Develop data science products roadmap across the Acquisition Marketing Team.You have utilized time-boxed experimentation to optimize data science products to…
40	Data Scientist	Boston, MA 02210 (Downtown area)	Wellframe	Estimated $87.5K - $111K a year	Technically proficient: Strong data science skills.Capable of manipulating large data sets, cleaning and normalizing data, feature engineering, building ML…
41	Associate Data Scientist/Data Scientist	Quincy, MA+1 location	Arbella Insurance Group	Estimated $80.1K - $101K a year	Support data science projects leveraging big data technology to extract value from unstructured and semi-structured internal and third party data, including…
42	Data Scientist	Remote in Lexington, MA	Odyssey Systems Consulting Group, Ltd.	Estimated $107K - $135K a year	The Group is seeking to hire an engineer to be responsible for maintaining data quality, developing data models & inferred analytics, and will contribute to the…
43	Principal Data Scientist	Cambridge, MA	Cambridge Mobile Telematics	Estimated $137K - $174K a year	Work independently or lead a group of data scientists to develop solutions through the full development stages, from data pre-processing, modeling, testing,…
44	Data Scientist	Remote in Boston, MA	Cohere Health	Estimated $107K - $135K a year	Strong interest and understanding of EMR data, Claims and SDOH data.Strong experience using a variety of data mining/data analysis methods, utilizing a variety…
45	Data Scientist	Hybrid remote in Burlington, MA	Butterfly Network	Estimated $95.7K - $121K a year	Minimum 3 years data science experience.Bring data into all decisions at Butterfly.Able to create compelling data visualizations, using Tableau or similar…
46	Bioinformatician/Data Scientist	Cambridge, MA	Cygnal Therapeutics	None	Expert in data mining and data analysis.Implement and develop data analysis/visualization tools to enable biologists accessing data.
