	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Remote in San Antonio, TX 78201	CyberCoders	$100,000 - $110,000 a year	Translate data analysis to guide business decisions.Created data visualizations to help business leaders understand their business problems and the proposed…
1	Data Scientist - (2+ yrs of statistics & R programming exp....	Texas	#twiceasnice Recruiting	Estimated $96.7K - $122K a year	Salary: Commensurate with Experience + Bonus + Benefits.Benefits: Medical, Dental, Vision, 401k, Holidays, Unlimited PTO .
2	Senior Data Analyst	Remote in Texas	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.In this role, you’ll get to:
3	Ticketing Data Science Representative	San Antonio, TX 78219 (Arena District area)	Spurs Sports and Entertainment	$12 an hour	This candidate will be able to perform independently on tasks pertaining to data analytics.This opportunity will provide the selected candidate with an…
4	Data Scientist - Analytics	Remote in San Antonio, TX	Pandion	Estimated $95.5K - $121K a year	One must have strong experience with a variety of data mining/data analysis methods, data tools, building and implementing models, using/creating algorithms and…
5	Senior Data Scientist at Rent-to-Own Startup	Remote in San Antonio, TX 78247	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
6	DATA SCIENTIST	San Antonio, TX	The Center for Health Care Services	$70,113 - $105,178 a year	Works closely with a lead-data scientist and helps improve business processes leveraging data science tools and techniques.
7	Senior Data Scientist/Machine Learning Engineer	Remote in San Antonio, TX 78247+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
8	Data Operations Manager: OmniSales (SQL Database/ Machine Le...	Remote in San Antonio, TX	Humanity	Estimated $94.1K - $119K a year	Our approach marries proprietary NielsenIQ data with other data sources to help clients around the world understand what’s happening now, what’s happening next,…
9	Data Scientist	Remote in San Antonio, TX	Circle	Estimated $114K - $145K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
10	Data & Machine Learning Researcher / Research Engineer	San Antonio, TX 78232	SecureLogix	Estimated $100K - $127K a year	Ability to identify relevant concepts behind patterns observed in data and extract meaningful business insights from them.US citizenship is highly desired.
11	Senior Data Analyst	San Antonio, TX	Convene Technologies	Estimated $90.4K - $114K a year	Person must be an expert at pulling data.Need a person who insists on understanding the business objective and can be a creative problem solver to figure out…
12	NLP Engineer at Speech to Text Start Up	Remote in San Antonio, TX 78247	Recruiting From Scratch	Estimated $123K - $155K a year	Who is Recruiting from Scratch:Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…
13	Data Plane Engineer	Remote in San Antonio, TX 78247	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Who is Recruiting from Scratch:
