	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Indianapolis, IN 46225 (Downtown area)+1 location	Advanced Testing Laboratory, Inc	Estimated $71.1K - $90.1K a year	Assist scientist with data uploads for relevant in vivo data into database.Will work with PhD level scientists and review their reports for data conclusions…
1	SQL Data Analyst, Sr	Indianapolis, IN 46240 (Keystone at the Crossing area)	Pinnacle Partners	Up to $80,000 a year	Collect data, enter data, assess quality analyst an interpret data, prepare reports and evaluate data.Pinnacle Partners is assisting our client in search for a…
2	Data Scientist	Indianapolis, IN	RADcube	Estimated $99.3K - $126K a year	The ideal candidate for this position will possess ability to perform both independent and team-based research and generate insights from large data sets with a…
3	Senior Data Analyst	Remote in Indiana	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
4	Data Scientist	Remote in Indianapolis, IN	CBL Solutions	Estimated $76K - $96.2K a year	Can manage large sets of data to tell a story.Note: Client will Sponsor / Transfer H1-B for Suitable consultants.*.
5	Sr. Business/ Data Analyst	Hybrid remote in Indianapolis, IN 46204	Knowledge Services	Estimated $88.6K - $112K a year	Ability to write queries to update and/or extract data from Oracle or SQL Server database is required.Ability to create process flow diagrams for current state…
6	Data Engineer (remote)	Indianapolis, IN 46268 (College Park area)	Knowledge Services	Estimated $97.3K - $123K a year	Conducts data analysis, data profiling, and data extraction from disparate sources (relational and non-relational databases, data warehouses, data lakes and…
7	Healthcare Data Scientist	Indianapolis, IN 46280	Clear Spring Health	Estimated $97.1K - $123K a year	Ensures data accuracy, integrity and completeness in the various internal and external data sources used for end-user reporting.
8	Senior Data Scientist/Machine Learning Engineer	Indianapolis, IN 46204 (Downtown area)	Salesforce	$82,400 a year	Build tools to monitor data pipeline performance, data quality and models in production.Experience working as part of a data team working with mature data…
9	Sr. Data Analyst	Indianapolis, IN 46204	CSpring	Estimated $79.3K - $100K a year	Conduct data analysis on customer data to identify trends, supply fiscal projections, and review data quality.Maintain and update reports inventory.
10	Senior Data Analyst	Indianapolis, IN 46208 (Butler-Tarkington area)	Butler University	Estimated $76.4K - $96.8K a year	Gather and analyze institutional and external data using various software tools, including spreadsheets, relational databases, statistical packages, and data…
11	Senior Data Analyst	Indianapolis, IN 46204 (Downtown area)	Milliman	Estimated $66.5K - $84.1K a year	3 + years of experience working with large databases, data verification, and data management.3 + years of experience working with large databases, data…
12	Senior BI Data Analyst	Indianapolis, IN	Arpin Van Lines	Estimated $69.5K - $88.1K a year	Technical expertise regarding data models, database design development, data mining and segmentation techniques.Must have the ability to handle stress.
13	Senior BI Data Analyst	Indianapolis, IN 46250	Wheaton Van Lines	Estimated $69.5K - $88.1K a year	Technical expertise regarding data models, database design development, data mining and segmentation techniques.Must have the ability to handle stress.
14	Enterprise Data Architect	Indianapolis, IN 46204 (Downtown area)	Marathon Health	Estimated $119K - $151K a year	Solid understanding of data technologies and the data lifecycle from data governance to consolidation of data to reporting.
15	DevOps Engineer - Machine Learning	Indianapolis, IN	Logic20/20 Inc.	Estimated $106K - $134K a year	As a DevOps Engineer on this project, you’ll build infrastructure to support wildfire mitigation as well as increase customer safety.
16	Cloud Data Engineer	Indianapolis, IN 46268	Republic Airways	Estimated $97.1K - $123K a year	Conducts data analysis, data profiling, and data extraction from disparate sources (relational and non-relational databases, data warehouses, data lakes and…
17	eCommerce Data Marketing Analyst (Sr. Data Analyst II)	Indianapolis, IN 46077	Shutterfly	$94,700 a year	Strong analytical skills and experience working in large data sets to analyze data using pivot tables and raw data, and measuring ecommerce digital marketing…
18	Senior Analyst, Marketing Analytics - Marketing Decision Sci...	Indianapolis, IN 46204 (Downtown area)	Salesforce	$83,200 a year	We are looking for a storyteller who can build a compelling and clear presentation grounded in data.Excellent oral and written communication skills for…
19	Data Operations Manager: OmniSales (SQL Database/ Machine Le...	Remote in Indianapolis, IN	Humanity	Estimated $87K - $110K a year	Uses logic to analyze data and capability to draw conclusions and convey or provide advice or consultation to business leaders.This is not an admin role.
