	Title	Location	Company	Salary	Synopsis
0	Machine Learning Data Scientist	Huntsville, AL 35805	PeopleTec, Inc.	Estimated $105K - $132K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and industry-leading learning…
1	Data Scientist Sr. (2 openings)	Huntsville, AL 35806	Adtran	Estimated $112K - $142K a year	Experience building data lake, data warehousing, data analytics, and data visualization solutions.Create data mining architectures/models/protocols,…
2	Data Scientist	Huntsville, AL 35802	Torch Technologies, Inc.	Estimated $105K - $133K a year	Good understanding of data modelling concepts and data analysis.The Data Scientist will work with a variety of data sources to develop and implement data and…
3	Computational Scientist	Huntsville, AL	Areté	Estimated $96.9K - $123K a year	Assess algorithm performance on real-world data.Design and implement advanced signal and image processing algorithms to extract actionable information from…
4	Machine Learning/Artificial Intelligence Software Developer	Huntsville, AL 35805+1 location	IERUS Technologies, Inc.	Estimated $100K - $127K a year	Designing, conducting, and documenting analysis to verify requirements, identifying and solving functional and performance gaps, and generating data to support…
5	AI/ML Software Engineer	Huntsville, AL 35802	Torch Technologies, Inc.	Estimated $107K - $135K a year	The ideal candidate will have familiarity with modeling and simulation (M&S) for generating synthetic data.As an AI engineer, the ideal candidate will interact…
6	Artificial Intelligence Engineer	Temporarily Remote in Huntsville, AL 35802	Torch Technologies, Inc.	Estimated $83.5K - $106K a year	The ideal candidate will have familiarity with modeling and simulation (M&S) for generating synthetic data.As an AI engineer, the ideal candidate will interact…
7	Cyber Software Developer	Remote in Huntsville, AL 35805	Frontier Technology Inc.	Estimated $86.3K - $109K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
8	SQL Server Database Administrator	Huntsville, AL 35802	Torch Technologies, Inc.	Estimated $79.6K - $101K a year	Experience in managing large data structures.Understanding of data layer design, and development for .Torch Technologies, a 100% employee-owned company is…
9	Machine Learning Engineer - Huntsville, AL	Huntsville, AL 35806+1 location	Davidson Technologies, Inc.	Estimated $104K - $132K a year	Expertise in data modeling and manipulating big datasets.Candidate will serve as the Machine Learning Engineer for a team of data and AI experts working in the…
10	GBSD AI Systems Engineer – 2018-1	Huntsville, AL	Northrop Grumman	$111,600 - $167,400 a year	Potential solutions will be verified against live sensor data.Duties will include the development of processing algorithms for exploitation of conventional and…
11	GBSD Principal AI Systems Engineer 2459-1	Huntsville, AL	Northrop Grumman	$111,600 - $167,400 a year	Creates data mining architectures/models/protocols, statistical reporting, and data analysis methodologies to identify trends in large data sets.
12	Kubernetes and Docker Cloud Developer	Remote in Huntsville, AL 35805	Frontier Technology Inc.	Estimated $98K - $124K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
13	Data Scientist	Huntsville, AL 35805	DESE Research, Inc.	Estimated $109K - $138K a year	The candidate will assist with data modeling and data virtualization.Familiarity with advanced machine learning, data science techniques and mathematical…
14	Senior Data Scientist at Rent-to-Own Startup	Remote in Huntsville, AL	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
15	10) Data Scientist	Huntsville, AL 35806+1 location	CFD Research Corporation	Estimated $96.4K - $122K a year	The engineer in this role will work with Senior Data Scientists to perform data analysis, develop algorithms, and train ML/deep learning (DL) models and…
16	Data Plane Engineer	Remote in Huntsville, AL	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
17	Senior Data Scientist	Huntsville, AL 35806	Modern Technology Solutions, Inc.	Estimated $100K - $127K a year	Develop the most valuable data product for data analytics.Able to understand various data structures and common methods in data transformation.
18	DevOps Engineer - Machine Learning	Huntsville, AL	Logic20/20 Inc.	Estimated $112K - $142K a year	As a DevOps Engineer on this project, you’ll build infrastructure to support wildfire mitigation as well as increase customer safety.
19	Machine Learning Developer	Huntsville, AL 35806	Verity Integrated Systems	Estimated $80.7K - $102K a year	The Machine Learning Developer will report to the Verity Project Manager.Collaborate with SMEs and software developers to meet schedules.
20	Statistician	Huntsville, AL 35816	WILL Technology, Inc.	Estimated $87.5K - $111K a year	Provide recommendations for optimal data presentation (i.e., Microsoft Power Point).In this role, the Statistician is responsible for performing tasks that…
21	Machine Learning/Computer Vision Specialist	Huntsville, AL 35801	EngeniusMicro, LLC.	Estimated $67.2K - $85K a year	Algorithm development for object detection, tracking, and data fusion.We seek a candidate able to work in a fast-paced, small team environment through all…
22	10) Data Scientist	Huntsville, AL 35806	CFD Research Corporation	Estimated $96.4K - $122K a year	The engineer in this role will work with Senior Data Scientists to perform data analysis, develop algorithms, and train ML/deep learning (DL) models and…
23	13) Sr. Data Scientist	Huntsville, AL	CFD Research Corporation	Estimated $112K - $141K a year	The engineer in this role will perform data analysis, develop algorithms, and train ML/deep learning (DL) models to process and visualize tremendous amounts of…
24	NLP Engineer at Speech to Text Start Up	Remote in Huntsville, AL	Recruiting From Scratch	Estimated $121K - $154K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
25	Head of Machine Learning - Document Analysis and NLP	Remote in Huntsville, AL+4 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our client's global data infrastructure will be built, you need to pay close attention to detail and maintain…
26	Principal ML & NLP Engineer	Remote in Huntsville, AL	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…
