	Title	Location	Company	Salary	Synopsis
0	Junior Data Scientist	San Jose, CA 95121 (Evergreen area)	CyberCoders	$90,000 - $120,000 a year	Apply relevant data mining techniques and/or Machine Learning algorithms to improve product intelligence.Deliver the trained model to production design, build…
1	Marketing Data Scientist	Cupertino, CA	Synergis	$119,809 - $255,131 a year	Provide insight at scale through building automated reports and data pipelines.Experience with turning data into insights at scale using algorithms and machine…
2	REMOTE Senior Data Scientist	Remote in Palo Alto, CA 94304	CyberCoders	$150,000 - $180,000 a year	Implement automated solutions for ensuring data quality and delivery.Ideate and implement data-driven methodologies to help scale model performance across…
3	Data Scientist	Remote in San Jose, CA	Lacework	Estimated $123K - $156K a year	This individual would be a leader in the definition and development of the data science & data engineering ecosystem at Lacework and be an integral part of…
4	Senior Data Scientist	Santa Clara, CA	iTrending Solutions	$50 - $60 an hour	Knowledge of data analysis techniques.Experience in the implementation and validation of big data algorithms and models.
5	Data Scientist	Santa Clara, CA	VIR Consultant LLC	$65 - $75 an hour	Working experience in end to end data science project life cycles from use case framing, data collection, data exploration, model building, deployment.
6	Data Scientist	Santa Clara, CA 95050+1 location	Cimetrix by PDF Solutions	$150,000 - $200,000 a year	Ability to create model-ready data from raw data, at scale.Help design, implement, and validate the ML Pipelines while collaborating with other data scientists…
7	Data Scientist	San Jose, CA	Digital Dhara LLC	$60 - $70 an hour	Familiarity with data management tools.Strong data management technology background.Big data: 5 years (Preferred).Analytical and problem-solving skills.
8	Data Scientist	San Jose, CA	Amply Power	Estimated $83.9K - $106K a year	Aggregate data from various sources to construct streamlined data pipelines and integrate data from multiple systems.
9	Data Scientist	Santa Clara, CA 95050	American nexus Trading inc	$60 - $65 an hour	You will use your knowledge of the ServiceNow HR Service Delivery (HRSD) application to optimize our HR operations and help them drive business results with a…
10	Data Scientist, Operations Data Science	Hybrid remote in Mountain View, CA	Google	$135,000 - $145,000 a year	2 years of relevant work experience (e.g., as a data scientist) or equivalent.4 years of relevant work experience (e.g., as a data scientist), including…
11	Associate Data Scientist I	San Jose, CA	UST Global	Estimated $80.6K - $102K a year	Develop data-driven solutions for difficult business challenges.Creates reports depicting the trends and behaviours from the analysed data.
12	Data Scientist - New College Grad	Remote in Palo Alto, CA 94301+1 location	Wealthfront	Estimated $109K - $138K a year	The Wealthfront data science team creates data products to deliver personalized financial product experiences, develops best in class investment algorithms, and…
