	Title	Location	Company	Salary	Synopsis
0	Data Scientist (Fully Remote) 6 Month-Contract	Remote in New York, NY+5 locations	Harnham	$70 - $100 an hour	Explain sophisticated data science concepts in an understandable manner.Significant experience applying advanced analytics to a variety of business situations…
1	Data Scientist x2	Remote in New York, NY 10005	Matlen Silver	$59.68 an hour	Experience analyzing weblog data a plus.We are looking for those with PHD or Master's Degrees with a couple years of experience.
2	Data Scientist for Large CPG Brand	Queens, NY+3 locations	Michael Page	$150,000 - $180,000 a year	Experience exploring data, hypothesis formulations, data wrangling, and creating clean data for analysis.Proficient in Python for data science, visualization,…
3	Data Scientist, Game Analytics & Strategy	New York, NY 10022 (Midtown area)+1 location	the NBA	Estimated $101K - $128K a year	Perform exploratory analysis of new data sources to assess data quality and applicability in decision-making.Help design procedures to maintain data integrity.
4	Data Scientist, Spotify Advertising	Remote in New York, NY+29 locations	Spotify	Estimated $109K - $138K a year	Communicate data-driven insights and recommendations to key partners.Build lasting solutions to surface critical data and performance metrics.
5	Data Scientist II - Algorithmic Justice Specialist	Remote in New York, NY 10004+1 location	ACLU	$115,638 a year	Experience with criminal justice, immigration, or other public sector data.Submit FOIA requests to obtain data and models from jurisdictions using predictive…
6	Data Scientist	Remote in Albany, NY+1 location	Comcentric	$139,000 - $276,000 a year	Mentor and grow other software engineers, data scientists, and ML engineers across teams.Solid knowledge of data structures and algorithms.
7	Data Scientist	New York, NY 11201 (Downtown area)+2 locations	NYC Careers	$58,700 - $173,486 a year	Identifying and resolving software, data management and data validation issues.Alerting senior management about critical findings, trends and data…
8	Data Scientist	Remote in Brooklyn, NY	User Interviews	Estimated $105K - $133K a year	Knowledge of statistics and other data analysis methods.Experience working with Engineers to build good data infrastructure.Stock options for every employee.
9	Data Scientist	New York, NY 10018 (Garment District area)	QuaEra	Estimated $108K - $137K a year	Experience with R, Python, PySpark and data visualization software such as Tableau.Ability to efficiently construct data sets from large scale distributed…
10	Data Scientist, Analytics	New York, NY+3 locations	Duolingo	Estimated $111K - $140K a year	Passion for high data quality and scaling data science work.Build new data pipelines to power these metrics by navigating complex schemas and large data sets.
11	Junior Data Scientist (US - East Coast)	New York, NY	OGC Global	Estimated $73.2K - $92.6K a year	1-3 years of experience in data analysis.Ability to summarize findings and reveal patterns in data.Develop data science solutions for clients and our internal…
12	DATA CURATOR/SCIENTIST	Brooklyn, NY+1 location	NYC Careers	$75,504 - $94,761 a year	Work on large data projects, profile data and be able to develop clear documentation.The City’s data community.Data and digital products that promote equity.
13	Data Scientist	Remote in New York, NY+1 location	UBS	Estimated $120K - $152K a year	You’ll be able to witness day to day work of a data scientist, including data collection and curation, exploratory data analysis, model training and delivery.
14	Data Scientist	Liverpool, NY 13090	Raymour and Flanigan	Estimated $96.3K - $122K a year	Create content that clearly illustrates how data and analytics can be applied in the business and present this to stakeholders and leaders.
15	Data Scientist, BotGuard	Remote in New York, NY	Human Security	Estimated $116K - $147K a year	You’ve worked as a data scientist solving large-scale data intensive problems in production systems (we process trillions of events per day, so literacy with…
16	Senior Data Scientist	Remote in New York, NY	Rocket Travel, Inc.	$120,000 - $165,000 a year	Designing data pipeline models to structure our front-end data.Evolve the Rocket data science toolkit by identifying and recommending best tools for each task.
17	1628 Data Scientist	New York, NY 10036+1 location	Infoorigin inc	$125,000 - $175,000 a year	The data scientist will help clients transform their business and solve complex problems using data-driven approaches and help to deliver projects using data…
18	Head of Business Analytics and Data Science	New York, NY (Chelsea area)	Google	$216,000 - $232,000 a year	As the Head of Business Analytics and Data Science, you will manage a team of business analysts and data scientists in providing analytical support and data…
19	Data Scientist	New York, NY	LSEG (London Stock Exchange Group)	Estimated $117K - $148K a year	Collaborate with scientists, product groups and content groups to perform “big data” aggregations, symbology mapping, and manipulations of important data-sets.
20	Head of Data Scientist	Remote in New York, NY	DataKind	$130,000 - $160,000 a year	Ensure staff are aware of the data science strategy, advances in the data science field, and applications of data science.Flexibility in your working schedule.
21	Data Scientist	New York, NY	Edgestream	Estimated $105K - $133K a year	Ensuring data quality in the pipeline from data acquisition to the model.An interest in working on a wide spectrum of projects, including data quality…
22	Econometric Data Scientist, International	Hybrid remote in New York, NY 10019+1 location	Warner Music Group	Estimated $83.2K - $105K a year	Interact with data engineering teams to identify the data needs for mathematical models.The Data Science department works to influence WMG’s strategy and…
