	Title	Location	Company	Salary	Synopsis
0	Healthcare Data Scientist	Irving, TX 75062 (Las Colinas Urban Center area)	Vizient, Inc.	$99,300 - $147,700 a year	Conduct exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities.
1	Junior Data Scientist	Southlake, TX 76092	Conestoga Energy Partners LLC	Estimated $64.9K - $82.1K a year	The Junior Data Scientist will assist in the continued growth in the business of trading and logistics of renewable fuels and carbon offsets.
2	Data Science Associate	Arlington, TX 76019 (Central area)+6 locations	Fisher Investments	Estimated $58.7K - $74.3K a year	Be a part of our data modernization efforts through the implementation of new data architecture, cloud, and machine learning technology.
3	Senior Data Scientist at Rent-to-Own Startup	Remote in Watauga, TX 76148+1 location	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
4	Data Scientist	Irving, TX	Data Xpander	Estimated $86.7K - $110K a year	They need to have statistical, mathematical, predictive modelling as well as business strategy skills to build the algorithms necessary to ask the right…
5	Data Scientist (Onsite)	Dallas, TX 75211	Regional Finance	Estimated $89.8K - $114K a year	Experience in data mining, modeling and analyzing analytic.This position will utilize advance statistical skills to analyze data, portfolio performance trends,…
6	Data Scientist	Dallas, TX 75261	Certegy Payment Solutions, LLC	Estimated $101K - $127K a year	Experience querying data using SQL.The data scientist role is within the risk management department and provides analytics with the goal of reducing losses in…
7	Data Scientist - (2+ yrs of statistics & R programming exp....	Texas	#twiceasnice Recruiting	Estimated $96.7K - $122K a year	Salary: Commensurate with Experience + Bonus + Benefits.Benefits: Medical, Dental, Vision, 401k, Holidays, Unlimited PTO .
8	Senior Data Scientist/Machine Learning Engineer	Remote in Watauga, TX 76148+14 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…
9	Senior Data Analyst, Internal Audit (Remote Available)	Hybrid remote in Westlake, TX	Charles Schwab	$71,100 - $140,800 a year	Champion and promote the use of data analytics techniques to internal audit teams to evaluate large data sets for trends and anomalies within internal audit…
10	Senior Data Analyst	Remote in Texas	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
11	NLP Engineer at Speech to Text Start Up	Remote in Watauga, TX 76148+1 location	Recruiting From Scratch	Estimated $123K - $155K a year	Their AI-powered collaborative note-taking app works across Zoom, Google Meet, and Microsoft Teams to help teams record, transcribe, search and share meeting…
12	Reporting & Analytics Analyst	Remote in Bedford, TX 76022+1 location	Kelly	$35 an hour	Solutions and makes recommendations relating to account acquisition, portfolio performance, operating efficiencies, and expense control.
13	Director, Quantitative Analytics and Data Science	Remote in Arlington, TX	Gartner	Estimated $123K - $155K a year	As a senior quantitative expert, this individual will lead quantitative research workstreams, drive the creation of strong evidence-based insights, and champion…
14	Data Plane Engineer	Remote in Fort Worth, TX+2 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
15	Sr Data Scientist	Irving, TX	Gartner	Estimated $115K - $146K a year	Experience managing or mentoring junior data scientists preferred.Familiar with the foundational approaches to the major data science disciplines, such as data…
16	GCP Sr. Big Data Engineer	Irving, TX	Kairos Technologies	$65 - $75 an hour	Experience in data visualization tools like Kibana, Grafana, Tableau and associated architectures.The architect will design and implement enterprise…
17	Senior Marketing Data Analyst	Remote in Arlington, TX	Circle	Estimated $87.6K - $111K a year	Identifying trends in the data to inform ongoing strategy.Collecting and analyzing data from multiple sources to arrive at critical information for the…
18	Machine Learning	Irving, TX 75038	INFRAPOD TECHNOLOGIES	Estimated $87.2K - $110K a year	Machine Learning makes use of data for deriving decisions, and when data is stored in the cloud, it is easier to refer the information for precise purposes.
19	AI Developer	Southlake, TX 76092	Avodah	Estimated $103K - $130K a year	Design data acquisition and data labeling systems.Establish evaluation metrics, analyze performance, brainstorm, brainstorm future steps, perform exploratory…
20	Principal ML & NLP Engineer	Remote in Watauga, TX 76148+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…
21	Artificial Intelligence	Irving, TX 75038	INFRAPOD TECHNOLOGIES	Estimated $85.3K - $108K a year	Using Artificial Intelligence in big data steam can reach out to the potential customer by empowering the Tool with Machine Learning.
22	Machine Learning Engineer	Irving, TX 75063 (Freeport/Hackberry area)	Spireon	Estimated $106K - $134K a year	Collect data and analyze real world data.Research and develop statistical learning models for data analysis.As a Machine Learning Engineer, you will implement…
23	Principal Statistical Programmer	Fort Worth, TX	Galderma	Estimated $124K - $157K a year	Create derived data set specifications for all assigned studies and integrated summaries.Develop and review programming plans and specifications at project and…
24	Sr Specialist, Quantitative Analytics and Data Science	Arlington, TX+3 locations	Gartner	Estimated $76.3K - $96.5K a year	Analyze large data sets using advanced statistical techniques to identify actionable insights for senior executives.
25	Statistical Analyst I	Irving, TX 75038 (Cottonwood area)	Medpace, Inc.	Estimated $53K - $67K a year	Knowledge of databases and data management process; and.Communicate the project requirements for cleanup and data capture to ensure the key study variables are…
26	Senior Director, Machine Learning Software Engineering	Irving, TX	Gartner	Estimated $158K - $200K a year	Sets the direction for a scientific, data driven approach for decision making in application development.Manages a team of ML engineers and data engineers and…
27	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
28	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
29	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
