	Title	Location	Company	Salary	Synopsis
0	Data Scientist, Forecasting	Pittsburgh, PA+2 locations	Duolingo	Estimated $110K - $139K a year	Ensure the integrity of our tracking and data.Collaborate with data scientists and product managers launching hundreds of experiments each quarter to ensure…
1	Data Scientist	Wexford, PA 15090	Lucas Systems, Inc.	Estimated $94.2K - $119K a year	Ability to synthesize large amounts of data to make informed decisions and act on them.Building scalable and reusable data science components, maintaining and…
2	Data Scientist - Mid Level	Pittsburgh, PA+1 location	Govini	Estimated $98.5K - $125K a year	As part of our team, you must be a data nerd with a strong understanding of the various fundamentals of data science and analysis and know-how to bring data to…
3	Statistician/Data Scientist	Pittsburgh, PA 15219 (Middle Hill area)	9Rooftops	Estimated $109K - $138K a year	O Communication skills to ask questions of clients and internal partners to clarify data definitions, data structure and data generation biases.
4	Senior Data Scientist	Pittsburgh, PA 15222 (Strip District area)	Argo AI	Estimated $112K - $142K a year	We analyze data needed to provide actionable insights, draw conclusions from the data, and support data driven decision making at Argo AI.
5	Data Scientist - Causal Inference	Pittsburgh, PA 15213 (Squirrel Hill North area)+1 location	Carnegie Mellon University	Estimated $98.7K - $125K a year	Perform and help lead data engineering activities including collection and storage of data, quality and integrity checking of data, creating joined and derived…
6	Senior Data Scientist - Data Science Interview Content	Pittsburgh, PA	Karat	Estimated $118K - $150K a year	Collaborate with Karat's client partners, including hiring managers, data scientists, data engineers, and data analysts to understand the hiring signal required…
7	Data Scientist	Pittsburgh, PA 15222 (Central Business District area)	Federated Hermes	Estimated $75.5K - $95.7K a year	Develop 'data stories' and communicate findings to our business partners from the various data research initiatives via data visualization and storytelling in a…
8	Data Science Manager Sr	Remote in Pittsburgh, PA 15222	PNC Financial Services Group	$80,000 - $287,500 a year	Oversees end-to-end analytical projects that leverage vast amounts of structured and unstructured data, and web analytics click data, to extract actionable…
9	Machine Learning Scientist	Pittsburgh, PA 15208 (Point Breeze North area)	ChemImage Corporation	Estimated $97.7K - $124K a year	Support data annotation efforts and maintain data catalogs.Support on site data collection and system testing efforts.
10	Senior Machine Learning Research Scientist, Prediction	Remote in Pittsburgh, PA 15207	Motional	$172,020 a year	Work closely with the Planning team to integrate your motion prediction models with our state-of-the-art driving system.Fluency in Python or C++.
11	Senior Data Scientist at Rent-to-Own Startup	Remote in Pittsburgh, PA 15213	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
12	Senior Data Scientist - Causal Inference	Pittsburgh, PA 15213 (Squirrel Hill North area)	Carnegie Mellon University	Estimated $98.8K - $125K a year	Deep understanding of data science processes including data quality/integrity and feature engineering.Lead data acquisition, derived measures, and feature…
13	Data Scientist	Pittsburgh, PA	International Services Management	Estimated $101K - $128K a year	Candidate should have a BS degree with 5+ years of experience, a MS with 2+ years of experience or a PhD in Computer Science, Statistics, Mathematics,…
14	Opportunity for H1BTransfers in UI ,Data Science/Analyst/Eng...	Washington, PA 15301	TechIntelli Solutions, Inc.	$60,000 - $90,000 a year	Big data Developer and all technology's related to IT.This is regarding well trained in advance then we would help you with projects directly in your area of.
15	Machine Learning Engineer, New Graduate	Pittsburgh, PA+1 location	Duolingo	Estimated $96.9K - $123K a year	Prototype new models, evaluate with offline experiments, and then productionize solutions at scale to millions of daily users.
16	Machine Learning Scientist	Pittsburgh, PA	Innotescus	Estimated $97.7K - $124K a year	Support data annotation efforts and maintain data catalogs.Support on site data collection and system testing efforts.
17	Machine Learning Research Scientist	Pittsburgh, PA 15213 (Squirrel Hill North area)	Carnegie Mellon University	Estimated $85.2K - $108K a year	As a research scientist focusing on machine learning, you will identify, shape, apply, conduct, and lead research that matches critical U.S. government needs.
18	RA in Data science, ML and Neuroimaging	Pittsburgh, PA+1 location	The University of Pittsburgh	$18 an hour	Basic level of data and image processing skills.This position will be focused on the development of neuroimaging pipelines to manage various needs of MRI data…
19	Senior Administrative Coordinator - Statistics & Data Scienc...	Pittsburgh, PA 15213 (Squirrel Hill North area)	Carnegie Mellon University	Estimated $37.3K - $47.3K a year	The Senior Administrative Coordinator will be expected to anticipate the Head’s needs and proactively solve problems and/or independently handle issues.
20	Software Engineer, Data Science	Pittsburgh, PA 15222 (Strip District area)	Argo AI	Estimated $112K - $142K a year	Design, implement and maintain data pipelines ensuring sustainable data quality.We analyze data needed to provide actionable insights, draw conclusions from…
21	Senior Data Analyst	Pittsburgh, PA 15219 (Middle Hill area)	All Lines Technology	Estimated $93.7K - $119K a year	Coordinates with business/data analysts on data cleansing and data profiling activities to improve quality of data.
22	Senior Deep Learning Engineer/Research Scientist (Radio/Audi...	Remote in Pittsburgh, PA 15207+1 location	Motional	$172,020 a year	Experience working with large data sets.Conduct deep learning experiments, analyze data, and write reports.Research and develop neural networks for perception…
23	Data Science Manager	Imperial, PA	Maronda Homes	Estimated $109K - $138K a year	Develop and direct high-performing data scientists, data analysts, and data engineers through effective coaching and team development to achieve project…
24	Staff Data Scientist - REMOTE USA	Remote in Pittsburgh, PA	Mandiant	$160,000 a year	Identify data sources; iterate and grow datasets over time.Explore and analyze data; perform ad-hoc analyses to answer targeted questions.
25	Data Plane Engineer	Remote in Pittsburgh, PA 15213	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
26	Data Analytics - Practice Lead	Pittsburgh, PA 15219 (Middle Hill area)	Whitman, Requardt & Associates, LLP	Estimated $122K - $155K a year	Demonstrated experience leading multi-disciplined groups of data scientists, data engineers, data solutions engineers, and data visualization.
27	Data Science Manager	Imperial, PA 15126	Maronda Inc. and Subsidiaries	Estimated $109K - $138K a year	Develop and direct high-performing data scientists, data analysts, and data engineers through effective coaching and team development to achieve project…
28	Applied Scientist	Wexford, PA 15090+1 location	Lucas Systems, Inc.	Estimated $109K - $138K a year	Ability to synthesize large amounts of data to make informed decisions and act on them.Ideally, 2+ years of experience developing machine learning, data…
29	Head of Machine Learning - Document Analysis and NLP	Remote in Pittsburgh, PA 15213+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our client's global data infrastructure will be built, you need to pay close attention to detail and maintain…
30	Mathematical Modeler - Quantitative Systems Pharmacology	Pittsburgh, PA 15203 (Southside Flats area)	Immunetrics	Estimated $58.5K - $74.1K a year	Perform parameter estimation using empirical data and analyze the sensitivity of model parameters.Analyze systems of complex interactions, evaluate the data…
31	Senior Machine Learning Engineer	Remote in Pittsburgh, PA	Reify Health (Jobs)	Estimated $114K - $144K a year	At least 4 years of professional work experience in an enterprise role developing data products using regulated data, ideally in the health or clinical domains.
32	Machine Learning Engineer, Platform	Remote in Pittsburgh, PA 15213	Recruiting From Scratch	$150,000 - $190,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).
33	Associate Infrastructure Engineer - Artificial Intelligence	Pittsburgh, PA 15213 (Squirrel Hill North area)	Carnegie Mellon University	Estimated $76.2K - $96.4K a year	You will contribute technical knowledge and experience to projects that focus on big data, data intensive scalable computing, and high-performance computing.
34	Mid-Level Product Designer- AI (Remote- US Based)	Remote in Pittsburgh, PA 15222	New Relic	None	Experience working in SaaS or enterprise software, specially in the display and management of high volumes of data.Experience with Figma and Design Systems.
35	Data Science Specialist	Pittsburgh, PA	The University of Pittsburgh	$35,100 - $56,784 a year	The incumbent will work with the Bioinformatics leadership of the Cancer Center and in close collaboration with faculties at the Hillman Cancer Center to assist…
36	Senior Machine Learning/Deep Learning Engineer	Remote in Pittsburgh, PA 15212	Motional	$172,020 a year	Work with our ML modeling teams who are responsible for developing and deploying image, lidar and radar based perception for our self driving vehicles.
37	Senior Data Analyst - Enterprise Information Warehouse	Remote in Pittsburgh, PA	FedEx Services	$5,633 - $8,489 a month	Minimum (5) years work experience with implementing data solutions and/or executing data analysis and scientific measurements within a modern data platform.
38	Kubernetes and Docker Cloud Developer	Remote in Pittsburgh, PA	Frontier Technology Inc.	Estimated $101K - $128K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
