	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Remote in Northbrook, IL+2 locations	Allstate	$87,000 - $115,000 a year	Collaborate with marketing data engineers to implement predictive models About the Team.Strong verbal/written communication & data presentation skills,…
1	Health Care Data Scientist	Chicago, IL 60606 (Loop area)	Vizient, Inc.	Estimated $114K - $144K a year	Conduct exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities.
2	Sr. Data Scientist	Remote in Northbrook, IL+1 location	Allstate	$97,000 - $132,250 a year	Collaborate with marketing data engineers to implement predictive models.Strong verbal/written communication & data presentation skills, including an ability…
3	Data Scientist	Remote in Chicago, IL 60608	CyberCoders	$100,000 - $110,000 a year	Translate data analysis to guide business decisions.Created data visualizations to help business leaders understand their business problems and the proposed…
4	Data Engineer / Data Scientist	Remote in Chicago, IL 60607+1 location	Chamberlain Advisors LLC	Estimated $115K - $146K a year	Location: Remote within the US (Client is in CST).Duration & Type: Initial 12-Month Contract with likely extensions up to 2 years.6-8 years of experience.
5	Data Scientist	La Grange, IL	Sterling Engineering	$91,000 - $170,000 a year	Mentor and assist data scientists providing technical assistance and direction as needed:Proficient in managing entire data science project life cycle and…
6	Data Scientist	Remote in Chicago, IL	NinjaHoldings	Estimated $113K - $143K a year	NinjaHoldings is seeking a data scientist who will report directly to the Chief Analytics Officer focusing on the latest cutting-edge data mining and…
7	Data Scientist	Chicago, IL+1 location	Humanity	Estimated $86K - $109K a year	Take analytical objectives and define data requirements.Interpret, document and present/communicate analytical results to multiple business disciplines,…
8	PERFORMANCE DATA SCIENTIST SPORTS	Chicago, IL 60606 (The Loop area)+1 location	KINEXON	Estimated $74.4K - $94.2K a year	Clean data as needed & upkeep information for core data files.Access & analyze data using KINEXON’s platform.Execute & debug automated coding scripts.
9	AWS Data Scientist	Chicago, IL	Amazon Web Services, Inc.	$142,000 - $193,000 a year	Work with the data acquisition team on data requirements.The scientist will develop production models using geographical, macro-economic and customer-level…
10	Senior Data Scientist	Chicago, IL	Humanity	Estimated $112K - $142K a year	Take analytical objectives and define data requirements.Strong communication skills with the ability to present complex data ideas to a non-technical audience…
11	DATA SCIENTIST	Chicago, IL	Hyatt Corporate Office, Chicago	Estimated $90.3K - $114K a year	Work collaboratively with other data scientists and ML engineers to ensure proper execution/integration of algorithmic products.
12	Data Scientist	Chicago, IL	CyberCube	Estimated $93.4K - $118K a year	An incredible high performing team of insurance industry professionals, data scientists, and engineers who love working here.
13	Data Scientist (Machine Learning)	Remote in Chicago, IL	Decision Spot	Estimated $89.5K - $113K a year	Decision Spot is looking for data scientists who will enjoy finding creative solutions to solve complex business problems in supply chain and operations.
14	Data Scientist	Chicago, IL 60654 (Loop area)	CDL 1000 Inc.	Estimated $77.4K - $98K a year	Ability and experience in extracting insights from data, and summarizing learnings / takeaways.Strong storytelling: distill interesting and hard-to-find…
15	Associate Data Scientist	Chicago, IL+1 location	SimBioSys	None	0-2 years full time employment in industry building and validating statistical models on structured or unstructured data.
16	Data Scientist	Chicago, IL	Yellow Jacket	$50 - $70 an hour	_Classical data scientist preferably graduates of Indian Statistical Institute or university of Chicago who is keen on cluster analytics_.
17	Senior Data Scientist/Machine Learning Engineer	Chicago, IL 60654 (River North area)	Salesforce	$82,400 a year	Build tools to monitor data pipeline performance, data quality and models in production.Experience working as part of a data team working with mature data…
18	Senior Data Scientist at Rent-to-Own Startup	Remote in Cicero, IL+2 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
