	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Hybrid remote in Greensboro, NC	Comcentric	Estimated $89K - $113K a year	Create data visualizations, reports, dashboards, and data audits.Build, deploy, and maintain data management systems and front-end data.
1	Staff Engineer/Tech Lead Manager, Big Data Infrastructure	Temporarily Remote in Winston-Salem, NC	TuSimple, Inc.	Estimated $114K - $145K a year	Lead development of data infrastructure and framework for processing data at a very large scale.HD Map data is the major offline data on a running autonomous…
2	Machine Learning Programmer	Greensboro, NC 27401	Actalent	$45 - $60 an hour	. Able to perform Bayesian parameter searches on networks to balance accuracy and performance.. Able to quantize networks for deployment on resource…
3	Senior Software Development Engineer - Data Intelligence	Greensboro, NC	Altair	$125,000 - $150,000 a year	Altair enables data-driven enterprises by providing teams the power to use data analytics and AI to gain competitive advantages and drive next-level business…
4	Data Science Engineer	Greensboro, NC	Technology Concepts & Design (TCDI)	Estimated $88.2K - $112K a year	Work on data processing pipelines.Prepare and maintain data sets.Written and visual data communication.The Data Science Engineer must be equally comfortable…
5	Senior Machine Learning Engineer	Greensboro, NC	Reify Health (Jobs)	Estimated $108K - $137K a year	At least 4 years of professional work experience in an enterprise role developing data products using regulated data, ideally in the health or clinical domains.
6	Senior Digital Marketing and Data Analyst	Remote in High Point, NC 27265	TRONE BRAND ENERGY	Estimated $85.2K - $108K a year	Ability to make data-driven decisions.Collecting and analyzing customer, marketing and web behavioral data.Communicating and presenting to colleagues, senior…
7	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
8	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
9	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
10	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.
11	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
12	Machine Learning Programmer	Greensboro, NC 27401	Actalent	$45 - $60 an hour	Able to perform Bayesian parameter searches on networks to balance accuracy and performance.Multiple simultaneous searches on a single GPU.
13	Senior Data Analyst	Remote in North Carolina	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
14	Senior Machine Learning Engineer	Remote in North Carolina	Harnham	$190,000 - $230,000 a year	They are looking for an experienced Machine Learning engineer who has extensive experience working with start-ups, has a green thumb, and thrives in a fast…
15	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
16	Data Scientist	Hybrid remote in Greensboro, NC	Comcentric	Estimated $89.2K - $113K a year	Create data visualizations, reports, dashboards, and data audits.Build, deploy, and maintain data management systems and front-end data.
17	Data Science Engineer	Greensboro, NC	Technology Concepts & Design (TCDI)	Estimated $77.8K - $98.6K a year	Work on data processing pipelines.Prepare and maintain data sets.Written and visual data communication.The Data Science Engineer must be equally comfortable…
18	Senior Digital Marketing and Data Analyst	Remote in High Point, NC 27265	TRONE BRAND ENERGY	Estimated $89.8K - $114K a year	Ability to make data-driven decisions.Collecting and analyzing customer, marketing and web behavioral data.Communicating and presenting to colleagues, senior…
