	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Carrollton, TX 75006	Crescent Bank	Estimated $81.9K - $104K a year	Knowledge of data mining tools such as SQL, SAS, R and Python.Experience with statistical models and analytical work will also lead to success as well as…
1	Healthcare Data Scientist	Irving, TX 75062 (Las Colinas Urban Center area)	Vizient, Inc.	$99,300 - $147,700 a year	Conduct exploratory data analysis from complex, disparate data sources to recognize patterns, and identify member performance improvement opportunities.
2	Data Science Associate	Arlington, TX 76019 (Central area)+7 locations	Fisher Investments	Estimated $58.7K - $74.3K a year	Be a part of our data modernization efforts through the implementation of new data architecture, cloud, and machine learning technology.
3	Data Scientist	Dallas, TX	The Burchell Group Inc.	$110,000 - $155,000 a year	Experience querying data using SQL.The data scientist role is within the risk management department and provides analytics with the goal of reducing losses in…
4	Data Scientist - Remote	Remote in Dallas, TX	Infinity Consulting Solutions	$120,000 - $150,000 a year	Solid data manipulation skills with structured and non-structured data.Strong problem-solving skills and the ability to structure business problems into data…
5	Senior Data Analyst	Remote in Texas	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
6	Senior Data Scientist - NLP	Remote in Dallas, TX 75226	CyberCoders	$130,000 - $160,000 a year	As our Senior Data Scientist, you'll be using Machine Learning and Natural Language Processing to analyze speech and text data from customer and client…
7	Remote Machine Learning Engineer	Remote in Dallas, TX 75226	CyberCoders	$170,000 - $200,000 a year	Experience with data pipelines, real-time systems, and high-performance computing.Design, prototype, and implement machine learning algorithms and software…
8	Junior Data Scientist	Southlake, TX 76092	Conestoga Energy Partners LLC	Estimated $64.9K - $82.1K a year	The Junior Data Scientist will assist in the continued growth in the business of trading and logistics of renewable fuels and carbon offsets.
9	Data Scientist II	Remote in Dallas, TX 75201	Federal Reserve Bank of Dallas	Estimated $89K - $113K a year	Hands on SQL experience obtaining data from data sources.Develop and maintain infrastructure systems that connect internal data sets; create new data…
10	Data Scientist	Irving, TX	Data Xpander	Estimated $86.7K - $110K a year	They need to have statistical, mathematical, predictive modelling as well as business strategy skills to build the algorithms necessary to ask the right…
11	Data Scientist (100% Remote)	Remote in Dallas, TX 75219	Frontdoor	Estimated $125K - $158K a year	Solid foundation in data structures and algorithms.Process massive amounts of structured and unstructured data.Run A/B test experiments and analyze results.
12	Data Scientist	Remote in Dallas, TX	Circle	Estimated $118K - $149K a year	Identify data, metrics and analyses needs for business partners; Initiate, develop and maintain data pipelines and data models that powers dashboards and data…
13	Data Scientist	Dallas, TX 75261	Certegy Payment Solutions, LLC	Estimated $101K - $127K a year	Experience querying data using SQL.The data scientist role is within the risk management department and provides analytics with the goal of reducing losses in…
14	Senior Data Scientist at Rent-to-Own Startup	Remote in Watauga, TX 76148+2 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…
15	Principal Data Scientist	Lewisville, TX 75067	Full Cycle Services	$120,000 - $130,000 a year	Experience preparing, preprocessing, and analyzing data such as macroeconomics and other external data to monitor consumer financial health as well as monitor…
16	Data Scientist - Remote	Remote in Dallas, TX 75254	Infinity Consulting Solutions, Inc.	$120,000 - $150,000 a year	Solid data manipulation skills with structured and non-structured data.Strong problem-solving skills and the ability to structure business problems into data…
17	Data Scientist	Dallas, TX	Cyber Infotech	Estimated $91.3K - $116K a year	Identify patterns & trends in data, and provides insights to enhance business decision making.Build, implement and maintain predictive models through their…
18	Principal Financial Data Scientist	Dallas, TX	Kaizen Analytix	$90 - $105 an hour	Hands on data extraction and data wrangling from internal and external systems using SAS, SQL, Python, R, etc.Familiarity with CECL Loss Forecasting Model.
19	Senior Data Scientist - Sam's Technology	Dallas, TX (Downtown area)	Walmart Global Tech	From $100,000 a year	Build complex data sets from multiple data sources, both internally and externally.As a Data Scientist, you are responsible for building large data sets from…
20	Data Scientist	Remote in Irving, TX 75039	Peoplevisor LLC	Estimated $115K - $146K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
21	Data Scientist	Dallas, TX 75201	AArete	Estimated $95K - $120K a year	Develop custom data models and algorithms to apply to data sets.Experience performing data quality assurance and manipulation and.
22	Senior Data Scientist	Remote in Dallas, TX	Bankers Healthcare Group	Estimated $125K - $158K a year	Modeling experience with FCRA-regulated data (e.g. credit bureau attributes) is a plus.Strong communication skills: written, verbal, presentation, and…
23	Information Security Data Scientist (Remote)	Remote in Dallas, TX	Lucid Technologies Inc	Estimated $116K - $147K a year	Sound understanding of business intelligence best practices, relational data structures, data modeling, data mart and reporting techniques.
24	Sr. Data Scientist	Irving, TX 75063 (Freeport/Hackberry area)	Cortex Management, LLC	Estimated $112K - $142K a year	Participate and lead data studies with external parties such as Transunion, Experian, Equifax and other data sources to improve the efficiency of the algorithms…
25	Senior Data Scientist	Dallas, TX	FLYR Labs	Estimated $116K - $147K a year	3+ years of professional experience as a data scientist building models with direct commercial applicability.Our hyper-accurate contextual forecasts enable the…
26	Data Scientist	Dallas, TX 75225 (North Dallas area)	Welltower	Estimated $97.3K - $123K a year	Experience with data mining and data visualization tools, such as Alteryx, Tableau etc.Knowledge of data and analytics landscape.
27	Data Scientist, Staff / Manager	Remote in Dallas, TX	LTK USA	Estimated $134K - $170K a year	Serve as organization mentor and 'go-to' thought leader for data scientists, analysts, developers, and others interested in the field.
28	Senior Data Scientist	Remote in Dallas, TX	Juul Labs	Estimated $132K - $168K a year	Proficiency in advanced SQL, data modeling and ETL.Must have a strong ability to translate business problems into data driven solutions.
29	Data Scientist	Dallas, TX 75206 (M Streets area)	Hearst Media Services	Estimated $105K - $133K a year	You will join a team of data specialists but will “slice and dice” data using your own methods, creating new visions for the future.
30	Senior Data Scientist || Onsite role in Dallas,TX	Dallas, TX 75342 (Downtown area)	Xiartech inc	$60 - $70 an hour	Continue to develop our data science capabilities through technical research, collaboration with subject matter experts (both internal and external) and new…
31	Senior Data Scientist	Remote in Dallas, TX 75201	AArete	Estimated $122K - $155K a year	Develop custom data models and algorithms to apply to data sets.Experience with Healthcare data analytics is necessary.
32	Lead Data Scientist/Sr. Manager, Tableau	Dallas, TX 75201 (Downtown area)	Salesforce	$142,400 a year	The Di team is made up of data scientists, engineers, and analysts who are dedicated to driving product and distribution strategy with data-driven insights.
33	Senior Data Analyst	Remote in Dallas, TX 75201	High Level	Estimated $78.5K - $99.3K a year	Acquire data from primary data sources including Stripe,Chartmogul, Pendo and the HighLevel app, and maintain databases/data systems.
34	Senior Data Scientist/Machine Learning Engineer	Dallas, TX 75201 (Downtown area)	Salesforce	$82,400 a year	Build tools to monitor data pipeline performance, data quality and models in production.Experience working as part of a data team working with mature data…
35	Director, Quantitative Analytics and Data Science	Remote in Arlington, TX	Gartner	Estimated $123K - $155K a year	As a senior quantitative expert, this individual will lead quantitative research workstreams, drive the creation of strong evidence-based insights, and champion…
36	Data Scientist - REMOTE Role in Texas	Remote in Dallas, TX 75201	RxLive	Estimated $120K - $153K a year	Develop custom data models and algorithms to apply to data sets.Assess the effectiveness and accuracy of new data sources and data gathering techniques.
37	Director, Data Science	Dallas, TX 75202 (Downtown area)	Bain & Company	Estimated $143K - $181K a year	3+ years of experience managing data scientists.Translate business objectives into data and analytics solutions and, translate results into business insights…
38	Director of Data Science	Dallas, TX 75254 (Far North area)	VIZIO, Inc.	$225,000 a year	Proficient with modern big data technologies and CI/CD frameworks.Track record of delivering data-driven products, insights, and influencing product and…
39	Senior Data Scientist	Dallas, TX	Tricolor Auto Group	Estimated $88.2K - $112K a year	Experience in practical data processing working with large scale datasets and Big Data environment, data mining, text mining and information retrieval tasks.
40	Sr. Data Scientist	Addison, TX 75001	National Life Group	Estimated $112K - $142K a year	Strong knowledge of data architecture, data modeling and data integration best practices.In partnership with data analysts, data engineers, data architect and…
41	Senior Data Scientist	Dallas, TX	Qcentrio	Estimated $141K - $178K a year	Desire to expand knowledge in Big Data and the overall data ecosystem.Ability to handle and summarize large data sets using SQL or Hive-SQL or Spark.
42	Associate Data & Machine Learning Engineer	Dallas, TX	Amazon Web Services, Inc.	$82,600 a year	Hands on experience working on large-scale data science/data analytics projects.Hands on experience with building data or machine learning pipeline.
43	Data Science Manager	Dallas, TX 75202 (Downtown area)+1 location	Bain & Company	Estimated $121K - $153K a year	Train relevant AAG team members to support big data/data science initiatives.Develop, prototype, test, and deploy machine learning solutions on wide ranging…
44	Data Plane Engineer	Remote in Watauga, TX 76148+3 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.
45	Developer/Data Engineer/Data Scientist, Fundamental Equities	Dallas, TX	Millennium Management LLC	None	Minimum of 1+ years of data engineering or quantitative experience required, preferably working with data at a bank or investment firm.
