	Title	Location	Company	Salary	Synopsis
0	Data Scientist	Las Vegas, NV	Bally's Interactive	Estimated $83.2K - $105K a year	Experience with data visualization tools, such as Tableau.Experience with common data science toolkits, such as Python.
1	Experienced Mathematician (REMOTE)	Remote in Las Vegas, NV	Everi Games Inc	Estimated $89.6K - $113K a year	This position is responsible for writing and testing production code, while implementing mathematical logic for game play.
2	Sr. Data Analyst	Remote in Las Vegas, NV 89119	Aristocrat Technologies Inc	Estimated $96K - $122K a year	Mine multiple data sources and use data tools to facilitate the data needs of stakeholders.Understand data quality dimensions and advocate for high-quality…
3	Senior Mathematician	Las Vegas, NV 89119+2 locations	Konami Gaming	Estimated $89.4K - $113K a year	401(k) plan with company match.Company paid Holidays and three Paid Time Off (PTO) categories.The Senior Mathematician is responsible for creating…
4	Senior Data Analyst - Engineering Analytics	Las Vegas, NV 89118 (Enterprise area)	Verizon	$70,000 - $129,000 a year	Using data visualization and other data-gathering methods to either provide internal strategic direction or guide decisions for other teams.
5	Administrative Assistant 2, Department of Mathematical Scien...	Las Vegas, NV 89154 (Paradise area)	University of Nevada, Las Vegas	$33,972 a year	The main responsibilities of this job include, but are not limited to, in-person and telephone assistance to students in areas pertaining to admissions,…
6	Mathematician	Hybrid remote in Las Vegas, NV	Light & Wonder	Estimated $63.5K - $80.3K a year	Welcome to the world of land-based gaming.Bring our games to life by creating the math models that drive slot game play.
7	VP, Global Analytics & Data Science	Las Vegas, NV 89119	Aristocrat Technologies Inc	Estimated $137K - $173K a year	7+ years of experience in data analysis, data science, quant and / or machine learning/AI with a deep understanding of data management practices and the data…
8	Artificial Intelligence or Big Data Engineer	Las Vegas, NV	KTI - Kari Technologies International	Estimated $109K - $138K a year	Base on the market demand, develop the core technologies and road map of artificial intelligence or big data applications including algorithms;
9	Kubernetes and Docker Cloud Developer	Remote in Henderson, NV+1 location	Frontier Technology Inc.	Estimated $103K - $131K a year	Experience working with data stores/databases.FTI is seeking an associate level Kubernetes and Docker Cloud Developer to support various military and DoD…
10	Senior Data Scientist	Remote in Las Vegas, NV	OPTX	$120,000 - $150,000 a year	Assume intellectual ownership of business problems, translate them into data science requirements and test hypotheses with appropriate data sources and machine…
11	Data Scientist I	Las Vegas, NV 89113+2 locations	Credit One Bank	Estimated $78.8K - $99.8K a year	Our data professionals are tasked with creating guidelines and policies for data standards that ensure clean, governed data for the enterprise.
12	iGaming Mathematician	Las Vegas, NV	Quality Deployment, inc.	$70,000 - $110,000 a year	We're looking for a mathematician in our Las Vegas game studio to play a key role in the design and development of our next generation of online casino games.
13	Data Product Manager	Las Vegas, NV 89101 (Cultural Corridor area)	Freedom Financial Network	Estimated $118K - $149K a year	Transform the way our Marketing departments consume data and insights through well-designed data models and self-service reporting products.
14	Senior Marketing Data Analyst	Remote in Las Vegas, NV	Circle	Estimated $92.8K - $117K a year	Identifying trends in the data to inform ongoing strategy.Collecting and analyzing data from multiple sources to arrive at critical information for the…
15	Data Product Manager	Las Vegas, NV 89101 (Cultural Corridor area)	Freedom Financial Network	Estimated $118K - $149K a year	THE OPPORTUNITY: We are looking for an experienced Data Product Manager for the Marketing Analytics team. In this role, you will bring the product vision,…
16	Project Evaluator	Las Vegas, NV 89109 (Winchester area)	Community Outreach Medical Center	$25 - $35 an hour	*General Description* The Project Evaluator will provide evaluation and assessment of the work performed under the Certified Community Behavioral Health…
17	Enterprise Data Strategy & Governance - AVP II, Data Science	Las Vegas, NV 89113	Credit One Bank	Estimated $112K - $141K a year	Position Summary This position is a part of the Data Governance & Strategy team but supports the entire bank. The mission of the data validation and…
18	Big Data Engineer	Las Vegas, NV	24-7 Intouch	$70,000 - $80,000 a year	About 24-7 Intouch 24-7 Intouch is a global customer care and technology company that provides value-driven, future-forward solutions. For over 20 years, we…
19	Credit Risk- Senior Data Analyst	Las Vegas, NV 89113+1 location	Credit One Bank	None	Position Summary This position will ensure that we build and deliver the highest quality custom reporting solutions to support the risk team and improve…
20	Sr. Staff Analyst (Enterprise)	Las Vegas, NV 89101 (Cultural Corridor area)	Freedom Financial Network	Estimated $87K - $110K a year	THE OPPORTUNITY: We are looking for a Sr. Staff Analyst who will be responsible for all analytic aspects of our credit-based marketing acquisition strategy.…
21	Defense Data Scientist	Nevada	Systems Planning and Analysis, Inc.	Estimated $105K - $132K a year	Veracity Forecasting Group (VFG), part of Systems Planning and Analysis, Inc., is dedicated to helping our clients make complex, fully informed decisions at the…
22	Big Data Engineer	Las Vegas, NV	24-7 Intouch	$70,000 - $80,000 a year	Load from disparate data sets by leveraging various big data technology e.g. Kafka.Design and implement data modeling.As Big Data Engineer, You Will….
23	Project Evaluator	Las Vegas, NV 89109 (Winchester area)	Community Outreach Medical Center	$25 - $35 an hour	Responsible for data collection and reporting including SAMHSA SPARS and NOMS;Strong knowledge of data management, analysis tools, and integrated care systems…
24	Senior Data Analyst	Remote in Las Vegas, NV	Superior Executive and Legal Recruiting	Estimated $66.2K - $83.8K a year	Coordinating with other developers as need to provide data analysis solutions.Basic Java Experience, specifically the use of selenium web driver.
25	Data Scientist I	Las Vegas, NV 89113+1 location	Credit One Bank	Estimated $78.8K - $99.8K a year	Our data professionals are tasked with creating guidelines and policies for data standards that ensure clean, governed data for the enterprise.
