	Title	Location	Company	Salary	Synopsis
0	Senior Data Analyst	Remote in Texas	Hire With Jarvis	$120,000 - $170,000 a year	Expertise in SQL and data visualization.Experience working with relational data models and statistical principles.This is a fully remote permanent position.
1	Data Scientist - (2+ yrs of statistics & R programming exp....	Texas	#twiceasnice Recruiting	Estimated $96.7K - $122K a year	Salary: Commensurate with Experience + Bonus + Benefits.Benefits: Medical, Dental, Vision, 401k, Holidays, Unlimited PTO .
2	Artificial Intelligence Project Manager	El Paso, TX	AMPCUS	Estimated $93.5K - $118K a year	Background and Drug Screen: MANDATORY *.Project Manager Delivery and management of multiple projects, responsible for the overall direction, coordination,…
3	Machine Learning Engineer - Remote	Remote in El Paso, TX 79901	Hunt Military Communities	Estimated $112K - $141K a year	Experience with modern data pipelines with Open Source and data engineering technologies.3+ years combined experience in software development and data science.
4	Laboratory Technician Assistant	El Paso, TX 79922 (Northwest area)	Rio Valley Biofuels	None	Accurate keyboarding and data entry.A Laboratory Technician Assistant supports Scientists and Researchers in conducting various tests and experiments.
5	NGS Research Associate	Texas	MedGenome	From $40 an hour	Collaborate with bioinformatics scientists to assist in data interpretation for single cell and TCR projects and generate presentations and reports for…
6	Research Scientist (Physics)	Texas	Undefined Technologies	$45 an hour	Ability to communicate with both scientists and non-scientists is essential.Experience in conducting data analysis.Published author in peer-reviewed journals.
7	Therapeutic RNA Scientist (Rochester, MN)	Texas	Imanis Life Sciences	$68,000 - $86,000 a year	Analyze data generated during R&D activities to identify trends and make conclusions regarding optimal RNA combinations and encapsulation strategies.
8	HSC Sr Research Scientist (Psychiatry)	El Paso, TX	Texas Tech University	None	Extract data from medical records and enter data into databases.Responsible for data entry, record keeping and analysis of data related to brain bank research.
9	HSC Sr Research Scientist (Psychiatry)	El Paso, TX	Texas Tech Unv Hlth Sci Ctr El Paso	$4,000 a month	Extract data from medical records and enter data into databases.Responsible for data entry, record keeping and analysis of data related to brain bank research.
10	Reef Fish and Shrimp Fishery Observer - Galveston, TX	Texas	AIS Inc	Estimated $42K - $53.2K a year	Experience with data entry on computers.Collected data is used to document stock information which is then used to protect the environment and preserve future…
11	Interdisciplinary	Fort Bliss, TX	US Army Installation Management Command	$66,214 - $86,074 a year	Manages the operation of the General Fund Enterprise Business Systems (GFEBS) and Geographic Information System (GIS) including data entry, updates, data…
12	Splunk Engineer/Architect-El Paso, TX	Remote in El Paso, TX 79936	iSenpai	None	This role requires the ability to design, architect and implement Splunk solutions in support of cybersecurity and IT operations analysts and data scientists.
13	Travel MT / Travel MLT	Texas	LRS Healthcare	$1,500 - $2,500 a week	Record data and test results accurately and in specified format.Perform and evaluate a variety of clinical laboratory tests/examinations for use in clinical…
14	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.
15	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
16	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.
17	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…
18	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…
19	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…
20	Senior Data Scientist - Delivery Insights	Remote in Texas	Indeed	$139,000 - $201,000 a year	Your Job Delivery Insights provides development life cycle analytics for teams across Indeed. Our internally-facing products produce and visualize data that…
21	Data Scientist - (2+ yrs of statistics & R programming exp....	Texas	#twiceasnice Recruiting	Estimated $96.7K - $122K a year	*[Remote] Data Scientist Location: United States Salary: Commensurate with Experience + Bonus + Benefits Benefits: Medical, Dental, Vision, 401k,…
22	Artificial Intelligence Project Manager	El Paso, TX	AMPCUS	Estimated $93.5K - $118K a year	*Role: Conversational AI Project Manager* *Work location: El Paso, Texas * *Duration: * *10+months * *Background and Drug Screen: MANDATORY * Start date: 05…
23	Machine Learning Engineer - Remote	Remote in El Paso, TX 79901	Hunt Military Communities	Estimated $112K - $141K a year	Our employees are our most valuable asset. We are committed to offering competitive salaries and a comprehensive benefits package that provides options for…
24	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Responsibilities NSA Overview: The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a…
25	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	Good Parents is an innovative startup headquartered out of San Francisco, developing health monitoring and connected care platforms for pediatrics. Kiddo is…
26	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Your Job We’re looking for a senior leader to lead data and product science for the global platform that will personalize Indeed for job seekers and…
27	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Data Scientist It’s All About YOU Are you seeking to grow and enhance your technical career to new heights, in a full-time, W-2 opportunity? What…
28	Data Science Manager - Search Ranking and Personalization	Remote in United States	Indeed	$149,000 - $217,000 a year	Your Job About the Role The Job Seeker Data Science group is excited to hire a Data Science Manager to help lead our Ranking and Personalization Science…
29	Senior Data Scientist - Delivery Insights	Remote in Texas	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.
30	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.
31	Data Science Manager - Search Ranking and Personalization	Remote in United States	Indeed	$149,000 - $217,000 a year	Ensure delivery of data science solutions, set expectations for what can be done and by when, and prioritize incoming projects.
32	Machine Learning Engineer - Remote	Remote in El Paso, TX 79901	Hunt Military Communities	Estimated $114K - $145K a year	Experience with modern data pipelines with Open Source and data engineering technologies.3+ years combined experience in software development and data science.
